상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,도로명주소,구우편번호,신우편번호,경도,위도
진선,예술·스포츠,스포츠 서비스,골프 연습장,경기도 안양시 동안구 전파로104번길 14,431836.0,14041,126.94379850125,37.3888453789315
스트라이크존의정부민락구장,예술·스포츠,스포츠 서비스,기타 스포츠시설 운영업,경기도 의정부시 오목로225번길 100,480090.0,11813,127.094583614964,37.7467503539138
짐어클락,예술·스포츠,스포츠 서비스,헬스장,경기도 수원시 권선구 금곡로102번길 15,441460.0,16388,126.94184358905,37.2734943431526
설봉탁구클럽,예술·스포츠,스포츠 서비스,탁구장,경기도 이천시 영창로 190,467804.0,17369,127.443770598104,37.2810654889131
에스아이에스,예술·스포츠,스포츠 서비스,골프 연습장,경기도 용인시 수지구 죽전로168번길 20,448160.0,16889,127.12499957369,37.3242430610104
일산탁구교실,예술·스포츠,스포츠 서비스,탁구장,경기도 고양시 일산서구 일산로 547,411827.0,10375,126.767104597809,37.677669913323
마음의GYM,예술·스포츠,스포츠 서비스,헬스장,경기도 남양주시 진접읍 해밀예당1로 30,472861.0,12066,127.186458429762,37.7117732894753
리조트휘트니스의왕역점,예술·스포츠,스포츠 서비스,헬스장,경기도 의왕시 부곡중앙남1길 23,437813.0,16095,126.950326323291,37.3189555312957
빅토리짐,예술·스포츠,스포츠 서비스,헬스장,경기도 안양시 동안구 흥안대로 416,431070.0,14063,126.97447866261,37.391396864597
골프닥터임팩트,예술·스포츠,스포츠 서비스,골프 연습장,경기도 성남시 분당구 서현로 177,463796.0,13568,127.123517846791,37.3908575678941
코오롱글로벌스포렉스주,예술·스포츠,스포츠 서비스,종합 스포츠시설,경기도 이천시 호법면 중부대로798번길 125,467822.0,17392,127.411503308554,37.2363464715783
앨바트로휘트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 용인시 수지구 문인로54번길 2,448504.0,16828,127.097358014729,37.3335496614774
동서울골프클럽,예술·스포츠,스포츠 서비스,골프 연습장,경기도 광주시 퇴촌면 정영로 440,464982.0,12711,127.336643827323,37.4720926490932
스타볼링장,예술·스포츠,스포츠 서비스,볼링장,경기도 광주시 중앙로 355,464903.0,12739,127.260081140213,37.4308574821271
머슬케이,예술·스포츠,스포츠 서비스,헬스장,경기도 안성시 공도읍 대림동산길 14,456822.0,17548,127.203665965444,37.0111973018323
더라인휘트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 의정부시 신곡로 46-21,480834.0,11730,127.057842893721,37.7307909121499
선미탁구클럽,예술·스포츠,스포츠 서비스,탁구장,경기도 안양시 동안구 관악대로 381-1,431807.0,13939,126.965223774646,37.4048737889276
제이제이당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 시흥시 비둘기공원6길 19,429874.0,14912,126.791070276239,37.4419783626394
일동SG,예술·스포츠,스포츠 서비스,골프 연습장,경기도 포천시 일동면 화동로 1192-12,487857.0,11117,127.328030922707,37.9662532178132
나나짐PT스튜디오,예술·스포츠,스포츠 서비스,헬스장,경기도 파주시 교하로159번길 45,413110.0,10900,126.740451405125,37.723951313648
원당구장,예술·스포츠,스포츠 서비스,당구장,경기도 부천시 오정구 삼작로395번길 5,421200.0,14466,126.805592378256,37.5200123846413
라피크,예술·스포츠,스포츠 서비스,종합 스포츠시설,경기도 용인시 기흥구 보정로 32,446913.0,16903,127.111106971933,37.3140211831373
공도당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 안성시 공도읍 공도1로 43,456821.0,17561,127.169410851322,37.0027809864168
JANG스크린골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 용인시 처인구 모현읍 문현로 337,449855.0,17033,127.245325923696,37.3374801130055
제이원FIT,예술·스포츠,스포츠 서비스,헬스장,경기도 남양주시 두물로11번길 40-19,472501.0,12105,127.1255109451,37.6575700384544
브이아이피당구장,예술·스포츠,스포츠 서비스,당구장,경기도 김포시 고촌읍 은행영사정로 25,415819.0,10125,126.77320641267,37.6020983483595
수퍼메이크짐헬스&PT수원,예술·스포츠,스포츠 서비스,헬스장,경기도 수원시 팔달구 인계로108번길 39-17,442834.0,16489,127.02978558201,37.2660082175266
광주프렌즈스카이스크린골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 광주시 이배재로 372,464100.0,12765,127.21850465747,37.4354647403513
어뮤즈피트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 화성시 향남읍 상신하길로328번길 26,445938.0,18606,126.913519833356,37.1163515183668
남부골프존,예술·스포츠,스포츠 서비스,골프 연습장,경기도 용인시 기흥구 한보라2로 11,446904.0,17079,127.110951800467,37.2544536649028
삼송당구장,예술·스포츠,스포츠 서비스,당구장,경기도 파주시 탄현면 웅지로144번길 29,413843.0,10846,126.733179027353,37.8191487520422
아이켄,예술·스포츠,스포츠 서비스,당구장,경기도 용인시 수지구 풍덕천로147번길 10,448553.0,16837,127.097166447721,37.324990016241
그린골프스쿨,예술·스포츠,스포츠 서비스,골프 연습장,경기도 의왕시 흥안대로456번길 122,437831.0,16018,126.981671898994,37.3920829754888
월드당구장,예술·스포츠,스포츠 서비스,당구장,경기도 성남시 수정구 성남대로 1334,461854.0,13306,127.127139110967,37.4488432349633
에스에스피트니스,예술·스포츠,스포츠 서비스,헬스장,경기도 고양시 일산서구 강성로 121,411848.0,10386,126.762150825232,37.6705693342693
화산골프아카데미,예술·스포츠,스포츠 서비스,골프 연습장,경기도 화성시 효행로 811,445370.0,18358,127.018080235749,37.2060008914969
굴러굴러당구장,예술·스포츠,스포츠 서비스,당구장,경기도 구리시 검배로 21,471823.0,11929,127.142614122962,37.5993108815685
월드당구장,예술·스포츠,스포츠 서비스,당구장,경기도 양평군 양평읍 시민로 30,476802.0,12561,127.495163273844,37.4900232189574
아토즈핏,예술·스포츠,스포츠 서비스,헬스장,경기도 안산시 단원구 광덕동로 39,425906.0,15477,126.832084016762,37.307926292627
커브스남동탄클럽,예술·스포츠,스포츠 서비스,헬스장,경기도 화성시 동탄대로 182,,18501,127.107271210076,37.1707315292232
오렌지볼실내테니스장,예술·스포츠,스포츠 서비스,테니스장,경기도 안산시 단원구 선부광장1로 38,425829.0,15240,126.809394890434,37.3366348439012
산울로수상레져,예술·스포츠,스포츠 서비스,당구장,경기도 가평군 설악면 미사리로 859-30,477853.0,12462,127.549785686874,37.7234415764689
퀸당구클럽,예술·스포츠,스포츠 서비스,당구장,경기도 안산시 상록구 시낭로 37-1,426854.0,15274,126.854073723983,37.334644037093
키즈폴라리스,예술·스포츠,스포츠 서비스,기타 스포츠시설 운영업,경기도 수원시 영통구 덕영대로1555번길 16,443811.0,16700,127.061584809192,37.2467857060259
밀라노짐,예술·스포츠,스포츠 서비스,헬스장,경기도 수원시 영통구 에듀타운로 24,443270.0,16509,127.052301527676,37.2852196014482
기흥보정스크린골프,예술·스포츠,스포츠 서비스,골프 연습장,경기도 용인시 기흥구 용구대로2469번길 156,446913.0,16906,127.105182155483,37.3204870087635
